cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;slp:resource_uri
;S.PART.;;c5c7c191-13e4-435c-92f9-4387209d3f1d;ed1bb8e7-a3fa-4e6c-b214-a8a647472ba7;e04d0f18-3d95-4108-8d3e-1b969b203f28
;DEM;;c5c7c191-13e4-435c-92f9-4387209d3f1d;11be7e5a-9e7c-476f-95a6-5a52ea6da160;ab3c6a3c-23df-44c9-a6f6-506cfc79300a
;PT;;751854d4-1a34-467e-a257-1733509ca504;cc82d67d-4302-4c53-ac73-001d83600a52;fc26f99d-75cb-4e78-9bf7-f4c4fb78a583
;PMDB;;aee4edde-a602-4c8e-88b7-b9253b094800;4e585457-d435-4ce7-a7ec-864d9a410fc4;687f14de-4791-462d-b42f-2fa0dd8ccb11
;PP;;cbb14715-0305-430d-bc1c-dbf011a2b347;c7ca79a8-49c9-47fc-a603-e4589fe06f24;dc253372-7e73-41a0-af30-ad7fef2504a9
;PTdoB;;cbb14715-0305-430d-bc1c-dbf011a2b347;5b9a80ec-38ce-4c88-9e1c-b43f0d585b4f;335a22c3-8afd-43fb-be06-2052381e3a45
;AVANTE;;cbb14715-0305-430d-bc1c-dbf011a2b347;a2aa9ccc-0788-4c52-aa53-6599af53a85c;0c57a67c-550e-4c06-b1fd-d35dfdf25441
;PT;;df2a33e0-8cd7-4952-8b5d-d3d4f8f7aa3a;9c391ef5-6ab1-47b7-aca6-0f125edd581f;2cb03264-bd82-45d1-a2de-5dfd5463f827
;PCdoB;;820bb5c1-3dca-49bb-bd6a-00d85d3982fa;5a76fd92-c2b7-4ac3-9cf1-8e0c0591f90d;5652d2ad-e615-4d1a-b986-c8301fd1cb4e
;PT;;06542a65-3e37-489a-b14d-8f29edd32f86;518825c6-f192-4405-823a-64a1d24fedf2;d19bce5a-a209-4e00-8d3f-570f17e3c50d
;PT;;7b9fcb0c-b186-4b43-b289-476c3a2960dd;85b308c7-440f-4f28-82ad-53e16ec1be84;8b428f38-bd7f-4feb-ac35-3a04740ed537
;PMDB;;c3d3625e-ea63-4afa-8519-86cff2399cdf;53fcfc30-1ce8-4879-9123-0f34d80d113d;a1341189-8563-4a01-8eda-6e64a207ba39
;PR;;8fa4ec72-82c0-4868-a76a-ed04e6e57caf;3b4c7cef-08ce-40dc-bd17-02a67dc01e11;a8d9da7e-ccf9-454e-a371-43bddaca6400
;PHS;;8fa4ec72-82c0-4868-a76a-ed04e6e57caf;41b5ef7f-9d27-46cc-8334-6da0cd49f4ed;00f638f7-c4a7-4fce-9113-36d59e10c415
;PT;;76097d2b-f224-4ccf-9005-c24f380cb13b;302479cc-2b90-43ee-952b-753cb330f0f3;2410b533-de94-4b01-915b-2b4d8b28f84f
